transaction_id,account_id,bank_name,transaction_type,amount,currency,transaction_date,status,description,merchant_name,reference,transaction_category
TRX2104922,ACC410577,Capitec,Card Payment,26661.73,ZAR,2023-03-21 22:12:30,Failed,Bad dinner material himself claim.,Nielsen-Morse Entertainment,REF674673,Entertainment
TRX3410303,ACC938153,TymeBank,EFT,6006.46,ZAR,2024-08-27 16:08:03,Completed,Him friend these trip thing image blue.,,REF784091,Transport
TRX5147871,ACC652309,Standard Bank,Withdrawal,44011.3,ZAR,2023-11-10 14:15:17,Completed,Space act inside watch unit would answer.,,REF959562,Shopping
TRX2254913,ACC384106,TymeBank,Withdrawal,17527.7,ZAR,2023-11-24 02:00:31,Completed,Whatever hear eye your society behind help.,,REF307874,Transport
TRX3882679,ACC192273,Standard Bank,ATM Withdrawal,21948.41,ZAR,2023-11-27 03:25:21,Completed,Only upon side model.,,REF999988,Shopping
TRX8459905,ACC261683,FNB,Cash Deposit,12976.46,ZAR,2024-06-04 03:13:02,Completed,Detail third pass field.,,REF651011,Bills & Utilities
TRX2275626,ACC747229,Nedbank,Online Payment,41328.46,ZAR,2023-09-01 09:12:35,Failed,Three while energy major.,White-Sanders Grocery,REF262229,Shopping
TRX9224024,ACC735034,FNB,Withdrawal,6375.89,ZAR,2024-05-03 22:56:51,Completed,Since within cause rock.,,REF550276,Healthcare
TRX7693291,ACC137691,Nedbank,Withdrawal,7885.49,ZAR,2024-05-15 16:20:23,Completed,Church worry describe sister song skin leg.,,REF271516,Food & Dining
TRX1547319,ACC307416,Capitec,Debit Order,15423.69,ZAR,2023-03-13 19:40:02,Completed,Blue record accept claim.,,REF149118,Healthcare
TRX1920310,ACC267077,Capitec,Deposit,45779.62,ZAR,2024-06-20 11:28:28,Completed,Paper various prepare.,,REF349284,Transport
TRX1369042,ACC947980,Capitec,Withdrawal,33305.92,ZAR,2024-10-18 02:20:15,Completed,Participant common hard against ball ahead.,,REF886108,Entertainment
TRX3312230,ACC979532,Nedbank,Deposit,16276.55,ZAR,2023-05-02 13:31:16,Completed,Sense local relate fast result.,,REF705850,Transport
TRX7875563,ACC737137,Capitec,EFT,33762.13,ZAR,2024-10-01 10:23:14,Pending,Heart drug where treatment tax.,,REF616033,Shopping
TRX4176105,ACC797743,Capitec,Online Payment,34812.99,ZAR,2023-05-30 20:57:14,Completed,Assume specific education whatever number.,"Baker, Kirk and Baker Restaurant",REF236920,Bills & Utilities
TRX8304480,ACC297820,Capitec,ATM Withdrawal,25253.44,ZAR,2023-04-19 18:22:58,Pending,Mother century office hear reflect movie.,,REF908817,Transport
TRX1995703,ACC404588,ABSA,Cash Deposit,13581.2,ZAR,2024-10-21 13:15:21,Completed,Meet again speak pull ago language we.,,REF398571,Entertainment
TRX3144571,ACC141837,Discovery Bank,Deposit,41126.03,ZAR,2023-01-30 00:37:27,Completed,Which least day stock.,,REF329451,Bills & Utilities
TRX3788624,ACC464111,Discovery Bank,Cash Deposit,18825.74,ZAR,2024-02-05 16:32:47,Failed,Them level thing least usually.,,REF529096,Bills & Utilities
TRX8720477,ACC541993,Standard Bank,ATM Withdrawal,1102.49,ZAR,2024-01-24 17:23:45,Pending,Project woman who above against size.,,REF809056,Bills & Utilities
TRX9031859,ACC835773,Discovery Bank,ATM Withdrawal,45608.75,ZAR,2023-05-01 14:02:16,Failed,Employee shoulder back business near.,,REF671645,Bills & Utilities
TRX3159153,ACC428760,Standard Bank,Deposit,30033.84,ZAR,2024-09-17 14:57:17,Completed,Those never key fish.,,REF881402,Bills & Utilities
TRX5547378,ACC786848,Nedbank,Debit Order,45054.31,ZAR,2024-10-21 20:20:37,Failed,Service on bank direction.,,REF492072,Shopping
TRX7882333,ACC361921,Standard Bank,Online Payment,9514.08,ZAR,2023-12-18 16:03:08,Failed,Act above participant.,"Gibson, Compton and Hill Travel",REF959434,Food & Dining
TRX6188971,ACC586922,FNB,EFT,37406.13,ZAR,2023-06-27 16:04:35,Completed,Necessary box evening end feel.,,REF529930,Food & Dining
TRX9131587,ACC769519,Capitec,Card Payment,7993.29,ZAR,2024-01-25 09:04:21,Pending,Skill group appear effort shoulder first.,Kirby Group Retail,REF178331,Bills & Utilities
TRX4201469,ACC939112,Nedbank,Withdrawal,4817.88,ZAR,2023-11-15 06:20:45,Pending,Very should space bit certain.,,REF873702,Healthcare
TRX6458305,ACC549314,FNB,Withdrawal,24073.76,ZAR,2024-04-30 18:05:30,Completed,However guy decide change forward policy.,,REF899924,Food & Dining
TRX2854587,ACC893468,ABSA,ATM Withdrawal,47614.79,ZAR,2023-03-16 08:42:53,Failed,Nor current knowledge body.,,REF933916,Food & Dining
TRX9791170,ACC515511,Nedbank,EFT,23085.53,ZAR,2024-03-27 22:24:09,Pending,Soldier TV not any information risk simple.,,REF270347,Shopping
TRX6825306,ACC418419,ABSA,Online Payment,24225.43,ZAR,2024-03-27 20:42:48,Completed,Issue marriage mission wait clearly leave.,Howard-Hayes Travel,REF669700,Bills & Utilities
TRX8109082,ACC817422,Standard Bank,Card Payment,30770.0,ZAR,2024-02-13 15:54:27,Completed,Page apply environmental group back street arm.,"Martinez, Ho and Jackson Entertainment",REF972095,Entertainment
TRX7854918,ACC488979,ABSA,Card Payment,15676.66,ZAR,2023-03-14 04:24:19,Completed,Debate financial ask try apply within.,English and Sons Grocery,REF904597,Entertainment
TRX6600070,ACC669548,Standard Bank,Card Payment,49579.3,ZAR,2024-01-31 16:30:55,Failed,Window issue send.,Howard Group Travel,REF387281,Food & Dining
TRX7851241,ACC273653,TymeBank,Withdrawal,9390.54,ZAR,2024-05-03 15:39:32,Completed,Health beat range enjoy doctor.,,REF670366,Entertainment
TRX2854269,ACC389711,Standard Bank,Deposit,8885.7,ZAR,2024-02-20 01:11:08,Completed,Choose describe trouble.,,REF189563,Shopping
TRX7852184,ACC119306,Standard Bank,Card Payment,23571.11,ZAR,2023-02-28 20:30:58,Failed,Kind parent despite score.,"Barry, French and Suarez Travel",REF432491,Food & Dining
TRX8245652,ACC795245,Discovery Bank,Debit Order,35060.35,ZAR,2023-05-31 11:54:40,Failed,Up summer political stage land agent.,,REF444065,Shopping
TRX8716632,ACC537759,FNB,Card Payment,37643.69,ZAR,2024-02-06 05:34:40,Completed,Seem north write too hundred real.,Snyder-Thomas Entertainment,REF840374,Entertainment
TRX1801662,ACC913876,Standard Bank,Online Payment,2308.7,ZAR,2023-01-09 21:37:50,Pending,Senior enter off change remain crime.,Wu PLC Grocery,REF778331,Food & Dining
TRX8057812,ACC679948,Standard Bank,EFT,48122.18,ZAR,2023-12-18 14:10:23,Completed,Production expect whole operation.,,REF870371,Transport
TRX9859462,ACC501949,Standard Bank,EFT,44519.58,ZAR,2023-04-19 11:49:09,Pending,Office director program their.,,REF623355,Entertainment
TRX9955562,ACC475451,Discovery Bank,Cash Deposit,37565.01,ZAR,2024-04-16 16:31:47,Completed,Who actually top yeah kid none politics.,,REF153670,Food & Dining
TRX9834500,ACC181311,Nedbank,Deposit,45843.34,ZAR,2024-08-21 08:08:23,Completed,Also could training picture data.,,REF892275,Bills & Utilities
TRX8260193,ACC443906,Standard Bank,Debit Order,41226.31,ZAR,2023-11-19 23:20:42,Completed,Sign this cell eye thousand.,,REF552837,Healthcare
TRX7765546,ACC400779,Standard Bank,Deposit,30088.08,ZAR,2023-01-10 22:23:11,Completed,Something approach effect message.,,REF371615,Food & Dining
TRX3650171,ACC274974,Capitec,Withdrawal,10094.01,ZAR,2024-09-17 09:40:29,Completed,Rather fire true could too help stand.,,REF268903,Transport
TRX8214710,ACC207072,TymeBank,Withdrawal,189.88,ZAR,2024-05-29 12:17:55,Failed,Trade large group budget political.,,REF174675,Shopping
TRX8650710,ACC298696,ABSA,Deposit,21182.55,ZAR,2023-01-06 09:42:55,Completed,Sort prove manage owner vote.,,REF243023,Entertainment
TRX3889679,ACC349095,Standard Bank,EFT,21517.54,ZAR,2024-02-01 03:26:51,Completed,Industry suggest loss life significant.,,REF631760,Entertainment
TRX2236707,ACC633646,FNB,Deposit,39949.91,ZAR,2023-01-20 02:47:27,Completed,Which various responsibility democratic gas.,,REF549103,Healthcare
TRX1979634,ACC582407,TymeBank,ATM Withdrawal,10602.29,ZAR,2024-11-20 08:14:19,Completed,Site say occur wife country.,,REF254473,Shopping
TRX9683748,ACC346047,TymeBank,Card Payment,39458.15,ZAR,2024-07-23 12:56:56,Failed,Either need look total.,Rodriguez LLC Travel,REF209055,Healthcare
TRX4446257,ACC185413,TymeBank,Debit Order,48346.13,ZAR,2023-07-14 03:01:41,Completed,Be go model.,,REF978332,Healthcare
TRX5365660,ACC726300,ABSA,Debit Order,41455.54,ZAR,2024-04-25 00:22:07,Completed,Suddenly note exist think Democrat north.,,REF526061,Entertainment
TRX8451583,ACC835713,Capitec,Card Payment,17894.6,ZAR,2024-06-19 20:09:21,Completed,Impact into guess pull.,Browning-Foster Entertainment,REF495236,Shopping
TRX1151006,ACC921818,Discovery Bank,Online Payment,2354.44,ZAR,2024-05-22 12:19:38,Pending,Major reveal report western buy.,Alvarez-Bradshaw Retail,REF862552,Entertainment
TRX9444312,ACC976977,Nedbank,Deposit,38426.37,ZAR,2024-09-26 17:15:11,Completed,Seat music bit certain.,,REF347449,Bills & Utilities
TRX3835235,ACC719145,FNB,Card Payment,26582.79,ZAR,2023-12-26 07:33:04,Pending,Rock operation program woman argue cell.,"Saunders, Webb and Johnson Grocery",REF396042,Healthcare
TRX2504202,ACC870119,Nedbank,Withdrawal,5776.94,ZAR,2023-05-08 23:56:02,Pending,Any rise rise name fund especially address visit.,,REF241633,Entertainment
TRX4715897,ACC990589,Standard Bank,Deposit,49137.28,ZAR,2023-09-06 06:29:15,Completed,Pass policy TV girl entire lose station.,,REF446978,Healthcare
TRX9627970,ACC969173,Standard Bank,Deposit,48974.61,ZAR,2024-02-23 17:02:51,Completed,Pull age network generation else itself.,,REF276696,Food & Dining
TRX1092562,ACC613816,FNB,Withdrawal,23065.37,ZAR,2024-08-21 23:15:35,Completed,Black public son four important available.,,REF225847,Shopping
TRX7484406,ACC431690,Nedbank,Withdrawal,40323.93,ZAR,2023-10-27 17:35:17,Completed,Answer receive our accept thus theory.,,REF979371,Transport
TRX1499382,ACC783448,TymeBank,Cash Deposit,17583.73,ZAR,2024-09-17 18:16:02,Completed,Above general subject meet talk.,,REF718493,Entertainment
TRX5420071,ACC966067,Capitec,EFT,40889.2,ZAR,2024-10-07 18:03:40,Completed,Election culture skill stay its here.,,REF364151,Shopping
TRX1585125,ACC261169,Discovery Bank,Deposit,8532.92,ZAR,2023-12-06 17:37:14,Completed,Able of policy hit ready short degree.,,REF470581,Healthcare
TRX1035991,ACC715955,TymeBank,Card Payment,2729.41,ZAR,2023-05-12 09:45:00,Completed,Husband upon piece share attention kid back.,"Edwards, Hughes and Malone Grocery",REF477865,Entertainment
TRX8588304,ACC507749,Capitec,Deposit,13528.78,ZAR,2023-06-11 19:30:53,Completed,Enjoy civil probably wrong east a serve.,,REF833242,Transport
TRX8943241,ACC640886,Nedbank,Cash Deposit,40876.58,ZAR,2023-10-20 08:13:01,Failed,Yard yet wait rate.,,REF815800,Food & Dining
TRX1008420,ACC899262,Standard Bank,Cash Deposit,4224.31,ZAR,2023-01-09 05:27:43,Pending,Marriage spend physical work.,,REF136815,Transport
TRX3454941,ACC668487,Nedbank,Deposit,38824.6,ZAR,2024-10-09 21:37:53,Pending,Movie test thus bring rich Mr.,,REF186497,Shopping
TRX7866258,ACC353580,ABSA,ATM Withdrawal,15715.28,ZAR,2024-03-18 14:42:23,Completed,Share south technology or true bag she.,,REF451010,Bills & Utilities
TRX5152587,ACC248548,ABSA,Card Payment,47275.46,ZAR,2023-11-07 22:08:22,Completed,Improve pull buy professor western.,"Woods, Watson and Carney Grocery",REF936835,Entertainment
TRX7251353,ACC855726,TymeBank,Cash Deposit,15759.95,ZAR,2023-11-27 07:32:07,Completed,Prevent result organization fish best year these.,,REF800106,Shopping
TRX8162984,ACC595910,ABSA,Online Payment,482.67,ZAR,2023-12-30 18:38:26,Failed,Light but may.,"Lee, Kaufman and Fuentes Restaurant",REF821036,Healthcare
TRX5872888,ACC331390,FNB,Deposit,36316.7,ZAR,2023-05-26 03:32:21,Completed,Own mouth parent old ask thank.,,REF880222,Shopping
TRX8006738,ACC356160,TymeBank,Debit Order,1685.68,ZAR,2023-08-15 02:57:47,Failed,Trip very later wonder attorney.,,REF632323,Transport
TRX1810110,ACC554635,Standard Bank,Cash Deposit,24710.65,ZAR,2024-05-09 04:50:07,Pending,Help represent positive author mention.,,REF973294,Bills & Utilities
TRX5971139,ACC734892,ABSA,Debit Order,1665.18,ZAR,2023-05-17 15:56:48,Failed,Call price program participant character purpose.,,REF400062,Transport
TRX5966629,ACC853906,Standard Bank,Online Payment,13768.97,ZAR,2023-07-17 22:32:36,Failed,Color would nor inside people site.,George-Richards Retail,REF442598,Healthcare
TRX6021917,ACC680719,Nedbank,EFT,16088.67,ZAR,2023-05-16 05:05:24,Failed,Door talk outside sport decide help.,,REF815347,Entertainment
TRX4235173,ACC946200,TymeBank,Debit Order,24112.16,ZAR,2023-07-20 09:42:46,Completed,Power campaign center require.,,REF522753,Food & Dining
TRX9684331,ACC667892,Capitec,ATM Withdrawal,968.83,ZAR,2023-10-10 01:55:28,Failed,Final authority those sit set tend popular.,,REF328500,Transport
TRX9076307,ACC815207,ABSA,Withdrawal,8520.13,ZAR,2023-07-08 21:10:16,Failed,Leg trade capital miss without.,,REF547678,Healthcare
TRX2657510,ACC538379,Standard Bank,EFT,2850.5,ZAR,2024-04-19 09:48:44,Pending,Brother prove travel somebody focus address.,,REF589033,Transport
TRX5286375,ACC686641,Discovery Bank,EFT,17798.39,ZAR,2023-06-03 04:22:46,Completed,Prevent somebody actually national challenge.,,REF440519,Bills & Utilities
TRX9421295,ACC238129,Capitec,ATM Withdrawal,44985.04,ZAR,2023-01-13 10:33:47,Pending,Local lot dinner for into ever light.,,REF194580,Food & Dining
TRX8752085,ACC498894,Nedbank,EFT,1177.81,ZAR,2023-12-20 00:12:56,Completed,Field south these contain.,,REF629784,Food & Dining
TRX7162706,ACC425468,Standard Bank,EFT,45291.4,ZAR,2024-07-08 02:42:27,Completed,Which yourself budget to help dinner artist.,,REF248013,Bills & Utilities
TRX9771126,ACC312822,ABSA,Cash Deposit,10347.02,ZAR,2023-02-22 19:27:47,Completed,Executive company laugh pay.,,REF581248,Healthcare
TRX8896315,ACC922087,Discovery Bank,EFT,19987.48,ZAR,2023-05-08 15:42:58,Completed,May mention Congress bag move as.,,REF441338,Entertainment
TRX2471160,ACC272328,ABSA,EFT,3435.79,ZAR,2023-02-09 03:05:51,Pending,Right central Republican information management.,,REF180734,Healthcare
TRX3193654,ACC982789,TymeBank,Online Payment,765.1,ZAR,2023-01-17 15:19:12,Failed,Sing tell training task.,Nguyen-Andrews Retail,REF479644,Shopping
TRX6580119,ACC555860,ABSA,Online Payment,19358.4,ZAR,2023-04-14 07:22:15,Completed,Sing continue difficult yes.,"Welch, Campbell and Hartman Travel",REF399649,Shopping
TRX6401160,ACC711585,Discovery Bank,Deposit,31296.26,ZAR,2024-03-28 22:48:40,Completed,Town real edge home today answer radio.,,REF783041,Food & Dining
TRX1652353,ACC167676,Standard Bank,Card Payment,32512.62,ZAR,2024-05-27 03:26:18,Pending,Hundred bit short.,Weaver PLC Grocery,REF177975,Transport
TRX3602546,ACC124221,Capitec,Online Payment,24617.3,ZAR,2023-01-26 10:36:17,Completed,Speech key condition tend glass idea short.,"Brown, Nichols and Martin Grocery",REF582411,Shopping
TRX8846412,ACC447674,Capitec,Deposit,36439.24,ZAR,2023-11-24 13:45:51,Completed,Reality individual property season.,,REF185160,Bills & Utilities
TRX7778524,ACC467593,ABSA,Online Payment,36592.21,ZAR,2023-08-26 04:51:29,Completed,Too begin would defense check. Ball many picture.,Hall-Thompson Entertainment,REF237344,Entertainment
TRX9696711,ACC737881,FNB,Deposit,5104.95,ZAR,2024-01-02 16:13:23,Completed,Raise state world story water eat dark.,,REF302724,Healthcare
TRX9223183,ACC207893,Discovery Bank,Debit Order,47670.23,ZAR,2023-01-26 07:49:32,Completed,Wind customer participant couple car character.,,REF870274,Bills & Utilities
TRX7857096,ACC395678,Capitec,Withdrawal,20692.4,ZAR,2023-12-14 01:42:25,Failed,Special challenge fact write.,,REF896390,Healthcare
TRX3323772,ACC831204,FNB,EFT,38862.97,ZAR,2023-11-01 08:15:10,Completed,American poor indicate a two everyone.,,REF992870,Bills & Utilities
TRX3434274,ACC662437,Nedbank,ATM Withdrawal,29352.03,ZAR,2024-07-07 08:50:19,Completed,Start service form cost term certainly.,,REF699925,Bills & Utilities
TRX2244430,ACC836582,Standard Bank,Online Payment,13143.73,ZAR,2024-07-19 13:02:53,Completed,Young help serious smile majority.,Myers Inc Restaurant,REF867367,Bills & Utilities
TRX9747060,ACC126100,Standard Bank,EFT,931.58,ZAR,2024-07-25 07:43:14,Failed,Listen go admit own.,,REF798661,Food & Dining
TRX2116897,ACC407922,Standard Bank,EFT,22493.79,ZAR,2023-06-16 06:56:50,Completed,Form break win body even crime.,,REF653407,Shopping
TRX8440480,ACC245374,TymeBank,EFT,1693.06,ZAR,2023-10-14 22:20:38,Completed,Including office right network today hundred.,,REF838881,Entertainment
TRX4139144,ACC765095,Standard Bank,ATM Withdrawal,15664.62,ZAR,2023-01-19 00:10:09,Failed,Consider itself news statement news.,,REF115508,Bills & Utilities
TRX5510047,ACC888921,FNB,Debit Order,44524.05,ZAR,2023-06-08 18:11:28,Failed,Deal machine business.,,REF202950,Transport
TRX4997946,ACC261513,Nedbank,EFT,44148.11,ZAR,2024-06-12 23:29:09,Failed,Tell candidate window short.,,REF251267,Healthcare
TRX4500422,ACC990833,Capitec,Cash Deposit,32952.21,ZAR,2024-05-20 16:07:37,Completed,Energy rock rock relate find.,,REF568338,Healthcare
TRX8491012,ACC853014,Discovery Bank,Debit Order,7913.16,ZAR,2023-03-31 15:03:32,Completed,Challenge drug play off those.,,REF970097,Transport
TRX5342580,ACC959165,Discovery Bank,Cash Deposit,36267.22,ZAR,2024-07-31 01:38:03,Completed,Couple long music between.,,REF476609,Entertainment
TRX2026356,ACC839000,TymeBank,Cash Deposit,39665.73,ZAR,2024-09-13 07:52:50,Completed,People surface consumer agreement owner same.,,REF144335,Shopping
TRX1885393,ACC651429,Capitec,Debit Order,5824.18,ZAR,2023-08-25 05:40:10,Completed,Relationship produce ask reflect shoulder world.,,REF117554,Bills & Utilities
TRX9198780,ACC998790,Nedbank,Card Payment,27768.57,ZAR,2024-11-14 01:48:05,Failed,Hour course them consumer key project.,Clements-Johnson Grocery,REF430548,Transport
TRX6068972,ACC495686,FNB,Online Payment,49980.27,ZAR,2024-07-06 12:11:13,Completed,Trouble authority almost to scene.,Cox Group Restaurant,REF283998,Shopping
TRX9813320,ACC932561,Discovery Bank,Card Payment,28285.88,ZAR,2023-04-13 02:37:32,Pending,Address vote meet woman.,Scott LLC Restaurant,REF781170,Bills & Utilities
TRX5706973,ACC527906,Capitec,Online Payment,5769.1,ZAR,2023-09-14 21:21:32,Completed,One fine expect late building.,"Ramirez, Harris and Gomez Entertainment",REF696888,Healthcare
TRX7097022,ACC494422,Standard Bank,EFT,42030.56,ZAR,2023-06-30 07:04:22,Failed,Final behavior glass song.,,REF147900,Transport
TRX2833833,ACC475131,FNB,ATM Withdrawal,19845.08,ZAR,2024-07-24 01:09:54,Pending,Cultural glass plan happen phone.,,REF721558,Food & Dining
TRX3138114,ACC746636,Nedbank,Card Payment,6225.52,ZAR,2023-07-25 15:55:13,Completed,Rock pull evening little true result.,Ramirez Ltd Entertainment,REF785123,Healthcare
TRX6936154,ACC611548,Standard Bank,Withdrawal,5721.88,ZAR,2024-02-26 23:52:11,Completed,Share sport drug when.,,REF912462,Bills & Utilities
TRX1013410,ACC844799,ABSA,EFT,15679.26,ZAR,2023-10-20 01:02:41,Failed,Theory control energy city.,,REF359424,Entertainment
TRX6797598,ACC328579,Standard Bank,ATM Withdrawal,4099.45,ZAR,2024-02-27 20:44:22,Completed,Else hair move campaign wear during value.,,REF580978,Transport
TRX4155963,ACC129228,FNB,Debit Order,23796.99,ZAR,2023-11-20 03:18:25,Completed,Number administration through star ever.,,REF389748,Entertainment
TRX4819575,ACC367761,FNB,Card Payment,41499.85,ZAR,2024-10-16 12:06:52,Completed,Majority analysis interview.,"Lucas, Young and Sharp Grocery",REF378101,Shopping
TRX7895347,ACC707918,FNB,Online Payment,37411.01,ZAR,2023-12-01 06:18:07,Completed,Budget accept lay decision under character.,"Villa, Salas and Stephens Retail",REF571204,Bills & Utilities
TRX5696083,ACC666476,FNB,ATM Withdrawal,41895.51,ZAR,2024-01-19 13:16:51,Completed,Feeling glass growth hundred.,,REF359221,Shopping
TRX7767913,ACC144822,FNB,Cash Deposit,9524.94,ZAR,2024-05-23 17:19:37,Completed,Us west exactly yes month describe onto.,,REF153362,Healthcare
TRX6319247,ACC867050,Nedbank,Online Payment,15842.81,ZAR,2024-03-22 01:32:47,Pending,Economy mouth smile face.,"Jackson, Hardin and Henderson Restaurant",REF247774,Entertainment
TRX8832152,ACC116389,Capitec,Deposit,23463.37,ZAR,2023-10-03 14:23:08,Completed,Media part help purpose.,,REF331512,Food & Dining
TRX5851143,ACC102749,Discovery Bank,Withdrawal,33472.58,ZAR,2024-01-30 13:27:38,Completed,Pull attack house. Way skin remember.,,REF580122,Healthcare
TRX1606784,ACC977280,TymeBank,Debit Order,8740.42,ZAR,2023-07-07 18:24:31,Completed,Question leg them region draw.,,REF981169,Healthcare
TRX1421302,ACC305936,ABSA,Debit Order,35408.29,ZAR,2023-07-24 08:34:13,Completed,Crime cover represent term show.,,REF838416,Entertainment
TRX8161599,ACC200034,Nedbank,ATM Withdrawal,46396.95,ZAR,2023-06-22 18:13:36,Pending,Similar ago inside civil.,,REF510050,Healthcare
TRX4878773,ACC659613,ABSA,Card Payment,45666.7,ZAR,2023-05-04 17:18:43,Pending,Policy nearly example any. Away life but.,"Hill, Wright and Hernandez Retail",REF681249,Bills & Utilities
TRX6360851,ACC150471,TymeBank,Withdrawal,8996.42,ZAR,2024-09-17 04:38:11,Completed,Only very world news need.,,REF811726,Transport
TRX3715533,ACC562305,ABSA,Online Payment,48948.76,ZAR,2023-01-02 17:06:01,Completed,Attack let above.,"Shaffer, Carter and Hayes Grocery",REF717533,Healthcare
TRX5819649,ACC624055,Standard Bank,Online Payment,1201.68,ZAR,2023-10-13 11:38:33,Completed,Anything however consider early foot.,Park Ltd Restaurant,REF394655,Transport
TRX7333640,ACC344572,Nedbank,Online Payment,40668.79,ZAR,2024-01-19 05:21:18,Completed,Back my let car range top under.,Moore-Cole Restaurant,REF457783,Healthcare
TRX4812541,ACC774106,TymeBank,ATM Withdrawal,28819.82,ZAR,2023-01-19 12:02:32,Failed,Game them might run reach. Grow place your.,,REF640336,Healthcare
TRX1170490,ACC118216,Nedbank,Debit Order,9748.09,ZAR,2024-05-22 23:51:27,Completed,Trade the across these. Ok child key alone stand.,,REF335305,Bills & Utilities
